,Claim Reference,Policy Year,Policy Description,Directorate Description,Department Name,Incident Date,Notification Date,Status Flag,Payment Year,Payment Date,Payment Type, Amount,Cause Description,Injury Description,Damage Description
14,M9MF000089,2009,Motor Fleet,ADULT SOCIAL SERVICES,Social Services Passenger Transport,2010-01-14,2010-01-22,CLOSED,2010,2010-03-26,Compensation payment,780.56,Collision - Immobile property/object,,Bodywork - Minor
15,M9MF000110,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-01-06,2010-01-25,CLOSED,2010,2010-03-26,Compensation payment,972.0,Collision - Immobile property/object,,Bodywork - Minor
16,M9MF000093,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2009-12-14,2009-12-31,CLOSED,2010,2010-03-26,Compensation payment,3069.78,Collision - Reversing,,Bodywork - Extensive
17,M9MF000090,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Transport,2009-12-21,2009-12-31,CLOSED,2010,2010-03-26,Compensation payment,3112.32,Collision - Losing control,,Bodywork - Extensive
18,M9FB000032,2009,Fire Blanket,OPERATIONS NOT NOW INSURED,Castle Hill Primary,2009-12-02,2009-12-16,CLOSED,2010,2010-04-06,Compensation payment,517.68,Malicious Damage/Vandalism - External,,Roof
19,M9SAR000024,2009,Schools All Risks,OPERATIONS NOT NOW INSURED,Benson Primary,2009-12-06,2009-12-16,CLOSED,2010,2010-04-06,Compensation payment,1494.0,Theft - Lead & Lead Flashings,,Roof - Lead
20,M9PUL000182,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-02,2009-12-04,CLOSED,2010,2010-04-12,Compensation payment,127.73,Carriageway - Pothole,,Vehicle
21,M9PUL000178,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-29,2009-12-04,CLOSED,2010,2010-04-13,Compensation payment,69.66,Carriageway - Speed Hump,,Vehicle
22,M9PUL000155,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-16,2009-11-16,CLOSED,2010,2010-04-13,Compensation payment,107.45,Carriageway - Pothole,,Vehicle
23,M9PUL000152,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-07,2009-11-17,CLOSED,2010,2010-04-13,Compensation payment,108.5,Carriageway - Pothole,,Vehicle
24,M9PUL000246,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-29,2010-01-05,CLOSED,2010,2010-04-13,Compensation payment,143.63,Carriageway - Pothole,,Vehicle
25,M9PUL000217,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-03,2009-12-21,CLOSED,2010,2010-04-13,Compensation payment,213.0,Carriageway - Pothole,,Vehicle
26,M9PUL000194,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-29,2009-12-09,CLOSED,2010,2010-04-13,Compensation payment,232.0,Carriageway - Pothole,,Vehicle
27,M9PUL000190,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-29,2009-12-09,CLOSED,2010,2010-04-13,Compensation payment,291.99,Carriageway - Pothole,,Vehicle
28,M9PUL000269,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-30,2010-01-19,CLOSED,2010,2010-04-20,Compensation payment,47.0,Carriageway - Pothole,,Vehicle
29,M9MF000115,2009,Motor Fleet,ADULT SOCIAL SERVICES,Social Services Passenger Transport,2010-01-14,2010-03-01,CLOSED,2010,2010-04-23,Fees Own Solicitor,42.5,Collision - Immobile property/object,,Bodywork - Minor
30,M9MF000074,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-10,2009-11-20,CLOSED,2010,2010-04-23,Compensation payment,83.0,Collision - Hit parked vehicle,,
31,M9MF000095,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Transport,2009-12-29,2010-01-14,CLOSED,2010,2010-04-23,Compensation payment,1127.0,Collision - Hit by TP,,Bodywork - Minor
32,M9MF000111,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Street Scene Cleansing Monitoring,2010-02-02,2010-02-19,CLOSED,2010,2010-04-23,Compensation payment,1181.7,Collision - Other,,Bodywork - Minor
33,M9MF000115,2009,Motor Fleet,ADULT SOCIAL SERVICES,Social Services Passenger Transport,2010-01-14,2010-03-01,CLOSED,2010,2010-04-23,Compensation payment,1611.44,Collision - Immobile property/object,,Bodywork - Minor
34,M9MF000102,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-02-28,2010-03-05,CLOSED,2010,2010-05-07,Fees Own Solicitor,42.5,Collision - Hit by TP,Bruising/Swelling,Bodywork - Minor
35,M9MF000102,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-02-28,2010-03-05,CLOSED,2010,2010-05-07,Compensation payment,2509.49,Collision - Hit by TP,Bruising/Swelling,Bodywork - Minor
36,M9PUL000187,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-29,2009-12-04,CLOSED,2010,2010-05-10,Compensation payment,205.9,Carriageway - Pothole,,Vehicle
37,M9PUL000213,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-02,2009-12-15,CLOSED,2010,2010-05-10,Compensation payment,417.17,Carriageway - Pothole,,Vehicle
38,N0PUL000239,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-01-23,2010-02-24,CLOSED,2010,2010-05-17,Compensation payment,165.68,Carriageway - Pothole,,Vehicle
39,N0FB000018,2010,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",Priory  SLD & Autism,2010-02-28,2010-03-04,CLOSED,2010,2010-05-18,Compensation payment,1044.71,Impact Damage,,Walls/Fences/Gates/Railings
40,M9FB000035,2009,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",Purley Oaks Primary,2009-12-27,2010-01-14,CLOSED,2010,2010-05-18,Compensation payment,1540.0,Water Damage - Pipe/Radiator,,Various
41,N0SAR000028,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Beulah Nursery & Infant,2010-02-17,2010-02-26,CLOSED,2010,2010-05-18,Compensation payment,3280.0,Theft - Lead & Lead Flashings,,Roof - Lead
42,N0FB000016,2010,Fire Blanket,OPERATIONS NOT NOW INSURED,Fairchildes Primary,2010-02-02,2010-02-10,CLOSED,2010,2010-05-18,Compensation payment,3771.25,Malicious Damage/Vandalism - External,,Windows
43,N0SAR000030,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,St. Marys Catholic Infant,2010-02-25,2010-03-04,CLOSED,2010,2010-05-18,Compensation payment,4090.0,Theft - Lead & Lead Flashings,,Roof - Lead
44,N0SAR000032,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Westwood Language College For Girls,2010-02-27,2010-03-16,CLOSED,2010,2010-06-02,Compensation payment,793.0,Theft - Lead & Lead Flashings,,Roof - Lead
45,N0FB000015,2010,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",St. Josephs R C Infant,2010-01-07,2010-01-22,CLOSED,2010,2010-06-02,Compensation payment,4942.35,Storm,,Various
46,M9SAR000025,2009,Schools All Risks,OPERATIONS NOT NOW INSURED,Woodcote High,2009-11-20,2009-12-23,CLOSED,2010,2010-06-02,Compensation payment,7900.0,Theft - Lead & Lead Flashings,,Roof - Lead
47,M9PUL000185,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-03,2009-12-04,CLOSED,2010,2010-06-08,Compensation payment,100.04,Carriageway - Pothole,,Vehicle
48,M9PUL000208,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-12,2009-12-14,CLOSED,2010,2010-06-08,Compensation payment,110.0,Carriageway - Pothole,,Vehicle
49,M9MF000120,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,PURLEY OAKS DEPOT,2010-03-18,2010-03-29,CLOSED,2010,2010-06-10,Compensation payment,1469.12,Collision - Reversing,,
50,M9PUL000337,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-30,2010-02-17,CLOSED,2010,2010-06-11,Compensation payment,43.0,Carriageway - Pothole,,Vehicle
51,M9PUL000251,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-12,2010-01-11,CLOSED,2010,2010-06-11,Compensation payment,49.99,Carriageway - Manhole,,Vehicle
52,N0PUL000228,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-05,2010-02-17,CLOSED,2010,2010-06-11,Compensation payment,61.94,Carriageway - Pothole,,Vehicle
53,N0PUL000252,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-24,2010-03-02,CLOSED,2010,2010-06-11,Compensation payment,167.01,Carriageway - Pothole,,Vehicle
54,N0PUL000242,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-22,2010-02-24,CLOSED,2010,2010-06-11,Compensation payment,225.0,Carriageway - Pothole,,Vehicle
55,N0PUL000272,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-22,2010-03-08,CLOSED,2010,2010-06-11,Compensation payment,234.96,Carriageway - Pothole,,Vehicle
56,N0PUL000326,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-26,2010-03-24,CLOSED,2010,2010-06-11,Compensation payment,263.42,Carriageway - Pothole,,Vehicle
57,M9MF000094,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-18,2009-12-31,CLOSED,2010,2010-06-15,Compensation payment,631.56,Collision - Hit parked vehicle,,
58,M9MF000075,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,HOUSING,2009-11-13,2009-11-20,CLOSED,2010,2010-06-17,Compensation payment,4784.37,Collision - Hit rear,,Bodywork - Minor
59,M9MF000125,2009,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",St. Andrews C of E Voluntary Aided High,2010-01-22,2010-03-21,CLOSED,2010,2010-06-18,Compensation payment,766.19,Collision - Other,,
60,M9MF000113,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2010-02-25,2010-04-08,CLOSED,2010,2010-06-25,Fees Own Solicitor,42.5,Collision - Immobile property/object,,Bodywork - Minor
61,M9MF000122,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2009-12-21,2010-03-29,CLOSED,2010,2010-07-01,Fees Own Solicitor,42.5,Collision - Hit whilst parked and unatte,,Bodywork - Minor
62,N0PUL000360,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-03-30,2010-04-16,CLOSED,2010,2010-07-05,Compensation payment,1019.33,Carriageway - Pothole,,Vehicle
63,N0MF000001,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Ecpp - Other,2010-04-15,2010-04-16,CLOSED,2010,2010-07-09,Fees Own Solicitor,42.5,Collision - Turning Right,,Bodywork - Minor
64,N0MF000003,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2010-04-22,2010-04-28,CLOSED,2010,2010-07-09,Fees Own Solicitor,55.12,Theft,,Unknown
65,M9MF000124,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Street Scene Cleansing Monitoring,2010-03-19,2010-03-29,CLOSED,2010,2010-07-09,Compensation payment,750.48,Collision - Hit parked vehicle,,Bodywork - Minor
66,N0MF000001,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Ecpp - Other,2010-04-15,2010-04-16,CLOSED,2010,2010-07-09,Compensation payment,954.36,Collision - Turning Right,,Bodywork - Minor
67,N0SAR000009,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Whitehorse Manor Infant,2010-04-07,2010-06-14,CLOSED,2010,2010-07-19,Compensation payment,320.0,Theft - Lead & Lead Flashings,,Roof - Lead
68,N0FB000014,2010,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",St. Josephs R C Junior,2010-01-26,2010-02-10,CLOSED,2010,2010-07-19,Compensation payment,352.5,Water Damage - Tank,,Various
69,N0FB000001,2010,Fire Blanket,OPERATIONS NOT NOW INSURED,St. Peters Primary,2010-04-12,2010-04-20,CLOSED,2010,2010-07-19,Compensation payment,820.0,Theft - Lead & Lead Flashings,,Roof - Lead
70,N0SAR000003,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Benson Primary,2010-04-06,2010-04-22,CLOSED,2010,2010-07-19,Compensation payment,1340.0,Theft - Lead & Lead Flashings,,Roof - Lead
71,N0SAR000010,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Whitehorse Manor Infant,2010-05-25,2010-06-14,CLOSED,2010,2010-07-19,Compensation payment,3400.0,Theft - Lead & Lead Flashings,,Roof - Lead
72,N0SAR000002,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Benson Primary,2010-04-05,2010-04-22,CLOSED,2010,2010-07-19,Compensation payment,4383.0,Theft - Lead & Lead Flashings,,Roof - Lead
73,M9SAR000021,2009,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Elmwood Infant,2009-11-13,2009-11-27,CLOSED,2010,2010-07-19,Compensation payment,6041.34,Theft - Lead & Lead Flashings,,Roof - Lead
74,N0PUL000246,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-26,2010-03-01,CLOSED,2010,2010-07-20,Compensation payment,100.05,Carriageway - Pothole,,Vehicle
75,N0MF000020,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2010-06-15,2010-06-22,CLOSED,2010,2010-07-21,Compensation payment,283.6,Collision - Hit parked vehicle,,
76,N0MF000008,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Parks,2010-05-08,2010-05-13,CLOSED,2010,2010-07-23,Fees Own Solicitor,42.5,Collision - Hit by TP,,Bodywork - Extensive
77,M9MF000123,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2010-01-06,2010-03-29,CLOSED,2010,2010-07-23,Fees Own Solicitor,42.5,Collision - Hit whilst parked and unatte,,Bodywork - Minor
78,N0MF000011,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,PLANNING & ENVIRONMENT,2010-05-04,2010-05-04,CLOSED,2010,2010-07-23,Compensation payment,55.0,Other,,Bodywork - Minor
79,M9MF000123,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2010-01-06,2010-03-29,CLOSED,2010,2010-07-23,Compensation payment,700.0,Collision - Hit whilst parked and unatte,,Bodywork - Minor
80,M9MF000122,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2009-12-21,2010-03-29,CLOSED,2010,2010-07-23,Compensation payment,700.0,Collision - Hit whilst parked and unatte,,Bodywork - Minor
81,M9MF000113,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2010-02-25,2010-04-08,CLOSED,2010,2010-07-23,Compensation payment,700.0,Collision - Immobile property/object,,Bodywork - Minor
82,N0MF000008,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Parks,2010-05-08,2010-05-13,CLOSED,2010,2010-07-23,Compensation payment,885.77,Collision - Hit by TP,,Bodywork - Extensive
83,N0MF000012,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,HOUSING,2010-06-02,2010-06-02,CLOSED,2010,2010-07-23,Compensation payment,957.31,Collision - Junction,,Bodywork - Extensive
84,N0MF000007,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-05-11,2010-05-11,CLOSED,2010,2010-07-23,Compensation payment,1719.47,Collision - Immobile property/object,,Bodywork - Extensive
85,N0MF000006,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2010-05-10,2010-05-10,CLOSED,2010,2010-07-23,Compensation payment,2824.07,Collision - Hit rear,,Bodywork - Extensive
86,M9MF000127,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2009-12-09,2010-03-31,CLOSED,2010,2010-07-26,Compensation payment,26.39,Tow Away,,
87,N0PUL000203,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-01-23,2010-02-01,CLOSED,2010,2010-07-29,CRU,330.0,Footways - Uneven Surface,Combination,Personal Property
88,N0PUL000256,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-25,2010-03-03,CLOSED,2010,2010-08-03,Compensation payment,139.82,Carriageway - Pothole,,Vehicle
89,N0PUL000271,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-28,2010-03-08,CLOSED,2010,2010-08-03,Compensation payment,148.0,Carriageway - Pothole,,Vehicle
90,N0SAR000033,2010,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Phil Edwards Centre  PRU,2010-02-22,2010-03-18,CLOSED,2010,2010-08-03,Compensation payment,153.0,Theft - Computer,,Computers
91,N0FB000004,2010,Fire Blanket,OPERATIONS NOT NOW INSURED,Fairchildes Primary,2010-07-02,2010-07-06,CLOSED,2010,2010-08-03,Compensation payment,1720.0,Malicious Damage/Vandalism - External,,Benches/ Outside Equipment
92,N0FB000005,2010,Fire Blanket,OPERATIONS NOT NOW INSURED,Fairchildes Primary,2010-07-05,2010-07-15,CLOSED,2010,2010-08-03,Compensation payment,4135.0,Malicious Damage/Vandalism - External,,Windows
93,N0PUL000295,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-27,2010-03-12,CLOSED,2010,2010-08-10,Compensation payment,716.1,Carriageway - Pothole,,Vehicle
94,N0PUL000331,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,LION GREEN CAR PARK,2010-03-05,2010-03-25,CLOSED,2010,2010-08-17,Compensation payment,1056.85,Defective Equipment - Other,,Vehicle
95,N0MF000021,2010,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Youth Centres,2010-06-17,2010-06-22,CLOSED,2010,2010-08-27,Compensation payment,1118.35,Collision - Hit parked vehicle,,Bodywork - Minor
96,M9MF000128,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-24,2010-01-18,CLOSED,2010,2010-09-01,Compensation payment,1804.13,Collision - Reversing,,
97,M9MF000110,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-01-06,2010-01-25,CLOSED,2010,2010-09-03,Fees Own Solicitor,42.5,Collision - Immobile property/object,,Bodywork - Minor
98,M9MF000086,2009,Motor Fleet,OPERATIONS NOT NOW INSURED,Norbury Manor Business College for Girls,2009-11-24,2010-01-15,CLOSED,2010,2010-09-03,Fees Own Solicitor,42.5,Collision - Other,,Bodywork - Minor
99,N0PUL000268,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-03-02,2010-03-08,CLOSED,2010,2010-09-07,Compensation payment,130.0,Carriageway - Pothole,,Vehicle
100,N0MF000009,2010,Motor Fleet,CHIEF EXECUTIVES OFFICE,CHIEF EXECUTIVE OFFICE,2010-05-05,2010-05-24,CLOSED,2010,2010-09-08,Compensation payment,758.63,Collision - Hit parked vehicle,,
101,M9MF000111,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Street Scene Cleansing Monitoring,2010-02-02,2010-02-19,CLOSED,2010,2010-09-08,Compensation payment,1270.45,Collision - Other,,Bodywork - Minor
102,N0FB000022,2010,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",UPPER NORWOOD JOINT LIBRARY,2010-03-14,2010-03-16,CLOSED,2010,2010-09-13,Compensation payment,80.0,Malicious Damage/Vandalism - External,,Windows
103,N0PUL000026,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-04-09,2010-04-30,CLOSED,2010,2010-09-13,Compensation payment,175.0,Carriageway - Pothole,,Vehicle
104,N0SAR000014,2010,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Purley Oaks Primary,2010-08-06,2010-08-26,CLOSED,2010,2010-09-13,Compensation payment,766.0,Theft - Lead & Lead Flashings,,Roof - Lead
105,N0SAR000006,2010,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",RedGates SLD & Autism,2010-05-03,2010-05-19,CLOSED,2010,2010-09-13,Compensation payment,1990.0,Theft - Lead & Lead Flashings,,Roof - Lead
106,N0SAR000015,2010,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Bensham Manor  MLD Secondary,2010-08-19,2010-09-13,CLOSED,2010,2010-09-13,Compensation payment,16560.0,Theft - Lead & Lead Flashings,,Roof - Lead
107,N0MF000002,2010,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Youth Centres,2010-04-14,2010-04-16,CLOSED,2010,2010-09-17,Compensation payment,209.62,Collision - Hit rear,,Bodywork - Minor
108,N0PUL000391,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-02-24,2010-06-29,CLOSED,2010,2010-09-21,Compensation payment,373.27,Carriageway - Pothole,,Vehicle
109,N0PUL000223,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-01-24,2010-02-15,CLOSED,2010,2010-09-21,Compensation payment,437.35,Carriageway - Pothole,,Vehicle
110,M9MF000082,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2009-12-01,2009-12-04,CLOSED,2010,2010-09-24,Compensation payment,617.45,Collision - Other,,Bodywork - Minor
111,M9MF000118,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-01-21,2010-03-16,CLOSED,2010,2010-09-27,Compensation payment,520.45,Collision - Hit rear,,
112,N0PUL000344,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-03-19,2010-04-08,CLOSED,2010,2010-09-29,Compensation payment,80.37,Footways - Kerbs,,Vehicle
113,N0PUL000352,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-03-23,2010-04-09,CLOSED,2010,2010-09-29,Compensation payment,955.45,Carriageway - Pothole,,Vehicle
114,N0MF000043,2010,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Libraries,2010-07-27,2010-07-28,CLOSED,2010,2010-10-08,Compensation payment,142.79,Collision - Hit whilst parked and unatte,,Bodywork - Minor
115,N0MF000019,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,PLANNING & ENVIRONMENT,2010-06-16,2010-06-18,CLOSED,2010,2010-10-08,Compensation payment,1366.63,Collision - Hit whilst parked and unatte,,Bodywork - Extensive
116,N0MF000034,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-07-26,2010-07-26,CLOSED,2010,2010-10-08,Compensation payment,1750.63,Collision - Hit whilst parked and unatte,,Bodywork - Extensive
117,N0MF000033,2010,Motor Fleet,ADULT SOCIAL SERVICES,Day Centres,2010-07-22,2010-07-26,CLOSED,2010,2010-10-08,Compensation payment,1911.77,Collision - Hit parked vehicle,,Bodywork - Extensive
118,N0PUL000010,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-04-06,2010-04-08,CLOSED,2010,2010-10-11,Compensation payment,88.99,Carriageway - Pothole,,Vehicle
119,M9PUL000159,2009,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2009-11-21,2009-11-23,CLOSED,2010,2010-10-11,Compensation payment,332.17,Carriageway - Pothole,,Vehicle
120,N0MF000047,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2010-08-13,2010-08-16,CLOSED,2010,2010-10-13,Compensation payment,1276.52,Collision - Hit by TP,,
121,N0MF000022,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Parks,2010-06-15,2010-06-23,CLOSED,2010,2010-10-15,Fees Own Solicitor,42.5,Collision - Immobile property/object,,Bodywork - Extensive
122,N0MF000032,2010,Motor Fleet,ADULT SOCIAL SERVICES,Adult Social Services - Other,2010-07-17,2010-07-21,CLOSED,2010,2010-10-15,Compensation payment,147.34,Collision - Hit by TP,,Bodywork - Minor
123,N0MF000016,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2010-06-14,2010-06-14,CLOSED,2010,2010-10-15,Compensation payment,867.34,Collision - Immobile property/object,,Bodywork - Extensive
124,N0MF000022,2010,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Parks,2010-06-15,2010-06-23,CLOSED,2010,2010-10-15,Compensation payment,1585.31,Collision - Immobile property/object,,Bodywork - Extensive
125,N0PUL000019,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-04-07,2010-04-23,CLOSED,2010,2010-10-25,Compensation payment,100.0,Carriageway - Pothole,,Vehicle
